event_name,source,disaster_type,magnitude,building_collapse_rate,estimated_trapped,temperature_c,hours_since_disaster,rescue_eta_hours,road_accessibility,lat,lon,event_time_utc,device_id
2008汶川地震-北川县城-1h,中国地震局/应急部公报,earthquake,8.0,0.92,3000,18,1,18,0.0,31.834,104.451,2008-05-12T07:28:00Z,RPI5-EM-WC01
2008汶川地震-北川县城-24h,中国地震局/应急部公报,earthquake,8.0,0.92,8000,16,24,6,0.1,31.834,104.451,2008-05-13T06:28:00Z,RPI5-EM-WC01
2010舟曲特大泥石流-县城-6h,水利部/应急管理部,landslide,7.5,0.60,500,26,6,4,0.2,33.785,104.371,2010-08-07T22:12:00Z,RPI5-EM-ZQ01
2010舟曲特大泥石流-县城-24h,水利部/应急管理部,landslide,7.5,0.60,1200,28,24,1,0.4,33.785,104.371,2010-08-08T16:12:00Z,RPI5-EM-ZQ01
2015天津港812爆炸-滨海新区-1h,国务院调查组报告,urban_fire,7.5,0.35,200,28,1,0.5,0.6,39.039,117.741,2015-08-12T16:30:00Z,RPI5-EM-TJ01
2015天津港812爆炸-滨海新区-12h,国务院调查组报告,urban_fire,7.5,0.35,50,27,12,0,0.8,39.039,117.741,2015-08-13T03:30:00Z,RPI5-EM-TJ01
2021河南郑州720暴雨-京广路隧道-2h,国务院调查报告,flood,8.0,0.15,100,26,2,2,0.1,34.733,113.626,2021-07-20T12:00:00Z,RPI5-EM-ZZ01
2021河南郑州720暴雨-京广路隧道-12h,国务院调查报告,flood,8.0,0.15,6,25,12,0.5,0.3,34.733,113.626,2021-07-20T22:00:00Z,RPI5-EM-ZZ01
2019凉山木里330森林火灾-雅砻江镇-6h,应急管理部森林防火办,forest_fire,5.0,0.02,30,19,6,12,0.3,28.293,101.207,2019-03-30T16:00:00Z,RPI5-EM-ML01
2019凉山木里330森林火灾-雅砻江镇-24h,应急管理部森林防火办,forest_fire,5.0,0.02,30,17,24,6,0.4,28.293,101.207,2019-03-31T10:00:00Z,RPI5-EM-ML01
