event_name,source,disaster_type,magnitude,building_collapse_rate,estimated_trapped,temperature_c,hours_since_disaster,rescue_eta_hours,road_accessibility
2008汶川地震-北川县城-1h,中国地震局/应急部公报,earthquake,8.0,0.92,3000,18,1,18,0.0
2008汶川地震-北川县城-24h,中国地震局/应急部公报,earthquake,8.0,0.92,8000,16,24,6,0.1
2010舟曲特大泥石流-县城-6h,水利部/应急管理部,landslide,7.5,0.60,500,26,6,4,0.2
2010舟曲特大泥石流-县城-24h,水利部/应急管理部,landslide,7.5,0.60,1200,28,24,1,0.4
2015天津港812爆炸-滨海新区-1h,国务院调查组报告,urban_fire,7.5,0.35,200,28,1,0.5,0.6
2015天津港812爆炸-滨海新区-12h,国务院调查组报告,urban_fire,7.5,0.35,50,27,12,0,0.8
2021河南郑州720暴雨-京广路隧道-2h,国务院调查报告,flood,8.0,0.15,100,26,2,2,0.1
2021河南郑州720暴雨-京广路隧道-12h,国务院调查报告,flood,8.0,0.15,6,25,12,0.5,0.3
2019凉山木里330森林火灾-雅砻江镇-6h,应急管理部森林防火办,forest_fire,5.0,0.02,30,19,6,12,0.3
2019凉山木里330森林火灾-雅砻江镇-24h,应急管理部森林防火办,forest_fire,5.0,0.02,30,17,24,6,0.4
